ave_fitness	ave_genome_length	ave_tree_depth	ave_tree_nodes	ave_used_codons	best_fitness	gen	invalids	max_genome_length	max_tree_depth	max_tree_nodes	max_used_codons	min_genome_length	min_tree_depth	min_tree_nodes	min_used_codons	runtime_error	time_adjust	time_taken	total_inds	total_time	
1327.5330308999198	28.18	7.21218487394958	13.275210084033613	9.745798319327731	0.18872995666976555	5	2382	100	24.0	65.0	51.0	3	2.0	2.0	1.0	0	0	0.03673124313354492	3000	10.137742757797241	
inf	29.444	7.5625	13.960416666666667	10.325	0.18872995666976555	6	2403	117	27.0	91.0	68.0	2	2.0	2.0	1.0	0	0	0.03653264045715332	3500	10.174275398254395	
inf	29.162	7.7253668763102725	13.9916142557652	10.38784067085954	0.18872995666976555	7	2427	90	22.0	67.0	52.0	4	2.0	2.0	1.0	0	0	0.03582310676574707	4000	10.210098505020142	
inf	28.742	7.4297872340425535	12.75531914893617	9.448936170212766	0.18872995666976555	8	2458	81	22.0	53.0	38.0	3	2.0	2.0	1.0	0	0	0.03464984893798828	4500	10.24474835395813	
3.283130499590928	29.486	7.462321792260693	13.004073319755602	9.623217922606925	0.18872995666976555	9	2468	85	22.0	73.0	53.0	2	2.0	2.0	1.0	0	0	0.03553891181945801	5000	10.280287265777588	
1.9273189049828041	30.346	7.613636363636363	13.152892561983471	9.803719008264462	0.18631402702787178	10	2485	94	25.0	72.0	54.0	2	2.0	2.0	1.0	0	0	0.03582906723022461	5500	10.316116333007812	
inf	32.76	8.163561076604555	14.641821946169772	10.933747412008282	0.18472851311815447	11	2503	100	26.0	76.0	55.0	1	2.0	2.0	1.0	0	0	0.03791546821594238	6000	10.354031801223755	
3.9373486829526234e+20	33.434	8.49795081967213	15.934426229508198	11.932377049180328	0.18472851311815447	12	2516	97	27.0	82.0	59.0	3	2.0	2.0	1.0	0	0	0.040383100509643555	6500	10.394414901733398	
1.4453853639102747	34.888	9.358762886597939	17.68041237113402	13.437113402061856	0.18472851311815447	13	2532	97	36.0	79.0	55.0	5	2.0	2.0	1.0	0	0	0.04479694366455078	7000	10.43921184539795	
1.990554637430708	36.646	9.585714285714285	18.908163265306122	14.342857142857143	0.18472851311815447	14	2543	87	32.0	83.0	64.0	7	2.0	2.0	1.0	0	0	0.0493626594543457	7500	10.488574504852295	
